name,type,image,abv,volume_ml,container,price,aroma,flavor,aftertaste,price_score,link
萬甕,芋焼酎,mannou_1800.jpg,25,1800,陶器,5670,4,2,3,5,https://shochu-dojo.jp/?pid=158061940
焼酎力 芋,芋焼酎,shochuriki_imo_1800.jpg,25,1800,紙パック,2029,4,2,3,3,https://shochu-dojo.jp/?pid=173344199
どでか芋,芋焼酎,dodeka_imo_5000.jpg,25,5000,大容量PET,4598,4,3,4,5,https://shochu-dojo.jp/?pid=158061870
純麦櫻泉,麦焼酎,sakuraizumi_mugi_900.jpg,25,900,瓶,1051,5,5,4,2,https://shochu-dojo.jp/?pid=158061896
純麦櫻泉,麦焼酎,sakuraizumi_mugi_1800.jpg,25,1800,瓶,1980,5,5,4,2,https://shochu-dojo.jp/?pid=158061897
黒櫻泉,麦焼酎,sakuraizumi_kuro_900.jpg,25,900,瓶,1051,1,2,1,2,商品ページがない
黒櫻泉,麦焼酎,sakuraizumi_kuro_1800.jpg,25,1800,瓶,1980,1,2,1,2,商品ページがない
大金持 麦,麦焼酎,ooganemoti_mugi_900.jpg,25,900,瓶,1051,3,4,3,2,商品ページがない
大金持 麦,麦焼酎,ooganemoti_mugi_1800.jpg,25,1800,瓶,1980,3,4,3,2,商品ページがない
大金持 麦 金箔入,麦焼酎,ooganemoti_mugi_gold_900.jpg,25,900,瓶,1134,3,4,3,2,https://shochu-dojo.jp/?pid=158061902
大金持 麦 金箔入,麦焼酎,ooganemoti_mugi_gold_1800.jpg,25,1800,瓶,2593,3,4,3,3,https://shochu-dojo.jp/?pid=158061904
吉祥大金持,麦焼酎,ooganemoti_kisshou_720.jpg,25,720,陶器,2150,3,4,3,3,商品ページがない
神武 琥珀,麦焼酎,jinmu_kohaku_720.jpg,25,720,瓶,3300,2,3,2,4,https://shochu-dojo.jp/?pid=158061907
貴醸酎 神武,麦焼酎,jinmu_kijoutyu_720.jpg,40,720,瓶,4730,1,1,2,5,https://shochu-dojo.jp/?pid=158061908
神武 麦全麹仕込十年貯蔵原酒,麦焼酎,jinmu_mugi_720.jpg,39,720,瓶,5500,3,1,3,5,https://shochu-dojo.jp/?pid=158061910
焼酎力 麦,麦焼酎,shochuriki_mugi_1800.jpg,25,1800,紙パック,2011,5,4,4,3,https://shochu-dojo.jp/?pid=173344335
どでか麦,麦焼酎,dodeka_mugi_5500.jpg,25,5500,大容量PET,4598,3,4,3,5,https://shochu-dojo.jp/?pid=170643890
孤独な天使,デーツ焼酎,kodokunatenshi_720.jpg,36,720,瓶,2750,2,1,3,3,https://shochu-dojo.jp/?pid=158061916
日向の夏子,リキュール,himukanonatsuko_500.jpg,12,500,瓶,1257,4,4,3,2,https://shochu-dojo.jp/?pid=158061917
日向の夏子,リキュール,himukanonatsuko_1800.jpg,12,1800,瓶,2310,4,4,3,3,https://shochu-dojo.jp/?pid=158061919
さわやか へべすリキュール,リキュール,liqueur_hebesu_500.jpg,14,500,瓶,1562,4,3,4,2,https://shochu-dojo.jp/?pid=158061923
さわやか レモンリキュール,リキュール,liqueur_lemon_500.jpg,14,500,瓶,1425,5,5,4,2,https://shochu-dojo.jp/?pid=158061924
さわやか レモンリキュール,リキュール,liqueur_lemon_1800.jpg,14,1800,瓶,3300,5,5,4,4,https://shochu-dojo.jp/?pid=158061925
さわやか ゆずリキュール,リキュール,liqueur_yuzu._500/jpg,14,500,瓶,1425,5,4,4,2,https://shochu-dojo.jp/?pid=158061922
爽 飫肥杉,芋焼酎,obisugi_20_900.jpg,20,900,スリムカップ,952,5,5,5,1,
赤飫肥杉,芋焼酎,akasugi_25_900.jpg,25,900,スリムカップ,980,3,4,4,1,
爽 飫肥杉,芋焼酎,obisugi_20_100.jpg,20,100,,223,5,5,5,1,https://shochu-dojo.jp/?pid=158061833
むげつ まるみ,芋焼酎,mugetsu_marumi_720.jpg,25,720,,1518,2,2,3,2,https://shochu-dojo.jp/?pid=163010728
むげつ まるみ,芋焼酎,mugetsu_marumi_1800.jpg,25,1800,,2530,2,2,3,3,https://shochu-dojo.jp/?pid=163010688
むげつ まるみ 長期甕熟成,芋焼酎,mugetsu_marumi-long_720.jpg,25,720,,1518,,2,2,3,2,https://shochu-dojo.jp/?pid=182746662
むげつ まるみ 長期甕熟成,芋焼酎,mugetsu_marumi-long_1800.jpg,25,1800,,2530,2,2,3,3,https://shochu-dojo.jp/?pid=182746667
焼酎道場 シルクスイート仕込,芋焼酎,silksweet_900.jpg,25,900,,1518,3,3,4,2,https://shochu-dojo.jp/?pid=166367321
焼酎道場 シルクスイート仕込,芋焼酎,silksweet_1800.jpg,25,1800,,2530,3,3,4,3,https://shochu-dojo.jp/?pid=166366932
長期甕貯蔵 無月 夢,芋焼酎,mugetsu_yume_720.jpg,25,720,,1650,3,2,2,2,https://shochu-dojo.jp/?pid=158061933
長期甕貯蔵 無月 匠,芋焼酎,mugetu_takumi_720.jpg,37,720,,3300,3,2,2,4,https://shochu-dojo.jp/?pid=158061935
長期甕貯蔵 無月 甕壷,芋焼酎,mugetsu_kametsubo_1800.jpg,25,1800,,6050,3,2,2,5,https://shochu-dojo.jp/?pid=158061940
長期甕貯蔵 無月 量り売り用,芋焼酎,mugetu_hakariuri_1800.jpg,25,1800,,2805,3,2,2,3,https://shochu-dojo.jp/?pid=158061934
赤魔王,芋焼酎,akamaou_100.jpg,25,100,,301,2,2,3,1,https://shochu-dojo.jp/?pid=158061965
赤魔王,芋焼酎,akamaou_720.jpg,25,720,,1859,2,2,3,2,https://shochu-dojo.jp/?pid=158061966
赤魔王,芋焼酎,akamaou_1800.jpg,25,1800,,3003,2,2,3,4,https://shochu-dojo.jp/?pid=158061967
赤魔王 紫芋仕込,芋焼酎,akamaou_murasaki_100.jpg,25,100,,301,3,3,3,1,https://shochu-dojo.jp/?pid=166738944
赤魔王 紫芋仕込,芋焼酎,akamaou_murasaki_720.jpg,25,720,,1518,3,3,3,2,https://shochu-dojo.jp/?pid=166738757
赤魔王 紫芋仕込,芋焼酎,akamaou_murasaki_720.jpg,25,720,,1628,3,3,3,2,https://shochu-dojo.jp/?pid=166738897
赤魔王 紫芋仕込,芋焼酎,akamaou_murasaki_1800.jpg,25,1800,,2728,3,3,3,3,https://shochu-dojo.jp/?pid=166738054
吉祥赤魔王,芋焼酎,kisshou_akamaou_720.jpg,27,720,,3102,2,1,4,4,https://shochu-dojo.jp/?pid=158061969
吉祥赤魔王,芋焼酎,kisshou_akamaou_900.jpg,27,900,,2156,2,1,4,3,https://shochu-dojo.jp/?pid=158061971
吉祥赤魔王,芋焼酎,kisshou_akamaou_1800.jpg,27,1800,,3586,2,1,4,4,https://shochu-dojo.jp/?pid=158061973
日南海,芋焼酎,hinami_20_720.jpg,20,720,,1412,2,2,3,2,https://shochu-dojo.jp/?pid=160011409
日南海,芋焼酎,hinami_20_1800.jpg,20,1800,,2345,2,2,3,3,https://shochu-dojo.jp/?pid=160011479
